"days","Barack Obama","Bill Clinton","Donald Trump","Dwight D. Eisenhower","George H.W. Bush","George W. Bush","Gerald Ford","Harry S. Truman","Jimmy Carter","Joe Biden","John F. Kennedy","Lyndon B. Johnson","Richard Nixon","Ronald Reagan"
108,36.4169396442856,13.8163515369793,-12.5322652157283,62.1060311205073,37.0951308869482,27.8153080683981,15.6127226049937,84,45.2537965700826,20.2904659131948,77.6574550227627,70.474385341323,47.0760389076462,48.1182925585867
109,36.8430712859945,13.8163515369793,-14.0853167477114,62.1060311205073,37.0951308869482,25.1941813523771,15.6127226049937,84,46.547771872594,20.2904659131948,70.8354081839799,70.474385341323,47.0760389076462,48.1182925585867
110,36.8430712859946,13.8163515369793,-14.0853167477114,62.1060311205073,37.0951308869482,27.2134091317463,15.6127226049937,84,46.547771872594,16.2026176359224,70.8354081839799,70.474385341323,47.0760389076462,48.1182925585867
111,36.8430712859945,13.8163515369793,-14.0853167477114,62.1060311205073,37.0951308869482,25.0721292246285,15.6127226049937,84,46.547771872594,16.2026176359224,70.8354081839799,70.474385341323,47.0760389076462,47.0226921777293
112,35.1635762521619,6.99810329052359,-14.3148150526508,62.1060311205073,37.0951308869482,25.5225960075571,15.6127226049937,84,46.547771872594,16.2026176359224,70.8354081839799,70.474385341323,47.0760389076462,47.0226921777293
113,34.561835133837,6.24000572136342,-14.4070085126155,62.1060311205073,37.0951308869482,25.5225960075571,15.6127226049937,84,46.547771872594,16.2026176359224,70.8354081839799,70.474385341323,47.0760389076462,47.0226921777293
114,34.561835133837,6.24000572136341,-14.4070085126155,62.9561063796729,37.0951308869482,25.5225960075571,15.6127226049937,84,46.547771872594,16.2026176359224,70.8354081839799,70.474385341323,47.0760389076462,47.0226921777293
115,35.0682875682283,6.24000572136341,-14.4070085126155,62.9561063796729,37.0951308869482,25.5225960075571,15.6127226049937,84,46.547771872594,16.2026176359224,70.8354081839799,70.474385341323,47.0760389076462,47.0226921777292
116,35.0682875682283,6.24000572136341,-14.4070085126155,62.9561063796729,37.0951308869482,25.5225960075571,15.6127226049937,84,46.547771872594,16.2026176359224,70.8354081839799,69.2229682134466,47.0760389076462,47.0226921777293
117,33.7869372344499,6.24000572136341,-14.3113884162712,62.9561063796729,37.0951308869482,25.5225960075571,15.6127226049937,84,46.547771872594,16.2026176359224,70.8354081839799,69.2229682134466,47.0760389076462,47.0226921777293
118,34.2550985057665,6.24000572136341,-15.3813896426189,62.9561063796729,42.7879021648569,25.5225960075571,15.6127226049937,84,46.547771872594,14.9446475911563,70.8354081839799,69.2229682134466,47.0760389076462,47.0226921777293
119,34.2550985057665,6.24000572136342,-15.3813896426189,62.9561063796729,42.7879021648569,25.5225960075571,15.6127226049937,84,46.547771872594,14.9446475911563,70.8354081839799,69.2229682134466,47.0760389076462,47.0226921777293
120,33.4364583642898,6.24000572136342,-15.7424865437012,62.9561063796729,42.7879021648569,25.5225960075571,15.6127226049937,84,46.547771872594,17.2445547219952,70.8354081839799,69.2229682134466,52.3402552232159,47.0226921777293
121,33.548011607885,6.24000572136341,-16.5931723469229,62.9561063796729,42.7879021648569,25.5225960075571,15.6127226049937,84,46.547771872594,17.2445547219952,70.8354081839799,69.2229682134466,52.3402552232159,47.0226921777293
122,33.548011607885,6.24000572136341,-17.4567872958997,62.9561063796729,42.7879021648569,25.5225960075571,1.83585080240983,84,46.547771872594,17.2445547219952,65.9197072474201,69.2229682134466,52.3402552232159,47.0226921777292
123,33.548011607885,1.00784982895117,-16.9711288077163,62.9561063796729,42.7879021648568,25.5225960075571,1.83585080240984,84,45.2163298262382,17.2445547219952,65.9197072474201,69.2229682134466,52.3402552232159,47.0226921777293
124,34.3657949921827,1.00784982895117,-16.792037019841,62.9561063796729,42.7879021648569,25.5225960075571,1.83585080240984,84,45.2163298262382,12.6414416005292,65.9197072474201,69.2229682134466,52.3402552232159,47.0226921777293
125,34.3657949921827,1.00784982895117,-16.792037019841,62.9561063796729,42.7879021648569,25.5225960075571,1.83585080240983,84,45.2163298262382,12.4451626944992,65.9197072474201,69.2229682134466,52.3402552232159,47.0226921777292
126,34.3657949921827,1.00784982895117,-16.792037019841,62.9561063796729,42.7879021648569,25.5225960075571,1.83585080240984,84,45.2163298262382,12.4451626944992,65.9197072474201,69.2229682134466,52.3402552232159,47.0226921777292
127,34.3657949921827,-6.12096413956797,-15.4926606435311,62.9561063796729,42.7879021648568,25.5225960075571,1.83585080240984,84,45.2163298262382,12.4451626944992,65.9197072474201,69.2229682134466,48.4975159755681,47.0226921777293
128,34.5570154102462,-6.12096413956797,-15.4926606435311,62.9561063796729,42.7879021648569,22.1559412681226,1.83585080240984,84,45.2163298262382,12.4451626944992,65.9197072474201,69.2229682134466,48.4975159755681,47.0226921777292
129,34.5570154102462,-8.9835042605928,-15.4926606435311,62.9561063796729,42.7879021648569,22.1559412681226,1.83585080240984,84,45.2163298262382,12.4451626944992,65.9197072474201,69.2229682134466,48.4975159755681,47.0226921777293
130,34.5570154102462,-8.9835042605928,-14.5836486579145,62.9561063796729,42.7879021648568,22.1559412681226,1.83585080240984,84,45.2163298262382,12.4451626944992,65.9197072474201,69.2229682134466,48.4975159755681,47.0226921777292
131,32.5338777408765,-8.9835042605928,-14.5836486579145,62.9561063796729,42.7879021648569,22.1559412681226,1.83585080240984,84,45.2163298262382,12.4451626944992,65.9197072474201,69.2229682134466,48.4975159755681,47.0226921777292
132,30.0145781569745,-8.9835042605928,-14.5836486579145,62.9561063796729,42.7879021648569,22.1559412681226,1.83585080240983,84,45.2163298262382,12.4451626944992,65.9197072474201,64.5111209225915,48.4975159755681,47.0226921777293
133,30.0145781569745,-8.9835042605928,-16.1536359133827,62.9561063796729,42.7879021648569,22.1559412681226,1.83585080240984,84,45.2163298262382,12.4451626944992,63.5546304303838,64.5111209225915,48.4975159755681,47.0226921777293
134,29.0056533677767,-8.99240767906042,-16.1536359133827,62.9561063796729,42.7879021648569,22.1559412681226,1.83585080240984,84,45.2163298262382,12.4451626944992,63.5546304303838,64.5111209225915,48.4975159755681,47.0226921777292
135,29.0056533677767,-9.82700868920741,-16.1536359133827,62.9561063796729,42.7879021648569,22.1559412681226,1.83585080240983,84,45.2163298262382,12.4451626944992,63.5546304303838,64.5111209225915,48.4975159755681,47.0226921777292
136,29.0056533677767,-9.8270086892074,-17.0431873468334,62.9561063796729,42.7879021648569,22.1559412681226,1.83585080240984,84,45.2163298262382,12.4451626944992,63.5546304303838,64.5111209225915,48.4975159755681,47.0226921777292
137,29.1903413149853,-10.5513739558128,-18.4460135142164,62.9561063796729,42.7879021648569,22.1559412681226,1.83585080240983,84,44.1546319545648,12.4451626944992,63.5546304303838,64.5111209225915,48.4975159755681,47.0226921777293
138,29.337500260753,-10.5513739558128,-18.4460135142164,62.9561063796729,42.7879021648569,28.4876214327386,1.83585080240984,84,44.1546319545648,12.4451626944992,63.5546304303838,64.5111209225915,48.4975159755681,47.0226921777293
139,29.337500260753,-9.92757823336097,-19.0601876127921,62.9561063796729,42.7879021648569,28.4876214327386,1.83585080240984,84,44.1546319545648,12.4451626944992,63.5546304303838,64.5111209225915,48.4975159755681,31.2421769229689
140,28.5026420016544,-9.92757823336096,-19.0601876127921,62.9561063796729,42.7879021648569,28.4876214327386,1.83585080240983,84,44.1546319545648,12.4451626944992,63.5546304303838,64.5111209225915,48.4975159755681,31.2421769229689
141,28.5026420016544,-9.92757823336097,-19.0601876127921,62.9561063796729,42.7879021648569,23.7720100076354,1.83585080240984,84,44.1546319545648,15.1852244019632,63.5546304303838,64.5111209225915,48.4975159755681,31.2421769229689
